x,velocity_cm_s
-5.103276353276355870e+00,1.283185750069274889e+01
-5.099715099715102617e+00,1.296121724119630869e+01
-5.096153846153849365e+00,1.305117117839523644e+01
-5.092592592592595224e+00,1.313514630405826722e+01
-5.089031339031341972e+00,1.318650973043470742e+01
-5.085470085470088719e+00,1.319982617431007554e+01
-5.081908831908834578e+00,1.319004266452408558e+01
-5.078347578347581326e+00,1.315090862538016836e+01
-5.074786324786328073e+00,1.311585104864701634e+01
-5.071225071225073933e+00,1.311829692609352094e+01
-5.067663817663820680e+00,1.313161336996887485e+01
-5.064102564102567428e+00,1.315036509705866763e+01
-5.060541310541313287e+00,1.318949913620258485e+01
-5.056980056980060034e+00,1.324276491170409997e+01
-5.053418803418805894e+00,1.334358941533190546e+01
-5.049857549857552641e+00,1.346262211772805983e+01
-5.046296296296299388e+00,1.358899245246369958e+01
-5.042735042735045248e+00,1.373030981603905332e+01
-5.039173789173791995e+00,1.389418360495430704e+01
-5.035612535612538743e+00,1.404936094072647279e+01
-5.032051282051284602e+00,1.416730658647972518e+01
-5.028490028490031349e+00,1.428498046807226274e+01
-5.024928774928778097e+00,1.438471791505718045e+01
-5.021367521367523956e+00,1.439422966068244136e+01
-5.017806267806270704e+00,1.432791920546632980e+01
-5.014245014245017451e+00,1.414284781201477870e+01
-5.010683760683763310e+00,1.381917669659509329e+01
-5.007122507122510058e+00,1.342022690865545087e+01
-5.003561253561256805e+00,1.299083953471497921e+01
-5.000000000000002665e+00,1.253699338630954685e+01
-4.996438746438749412e+00,1.210624719156547258e+01
-4.992877492877496159e+00,1.174615967860906096e+01
-4.989316239316242019e+00,1.146270965897622318e+01
-4.985754985754988766e+00,1.128035590713184888e+01
-4.982193732193735514e+00,1.117925963934335698e+01
-4.978632478632481373e+00,1.119692430979026199e+01
-4.975071225071228120e+00,1.126377829332784586e+01
-4.971509971509973980e+00,1.136487456111636618e+01
-4.967948717948720727e+00,1.153989068062119827e+01
-4.964387464387467475e+00,1.170023153544705963e+01
-4.960826210826213334e+00,1.187470412663049046e+01
-4.957264957264960081e+00,1.206820020906442892e+01
-4.953703703703706829e+00,1.228561153764186997e+01
-4.950142450142452688e+00,1.247176998773630885e+01
-4.946581196581199436e+00,1.263428495584795996e+01
-4.943019943019946183e+00,1.276228587554794558e+01
-4.939458689458692042e+00,1.282642221747829581e+01
-4.935897435897438790e+00,1.286012097340777416e+01
-4.932336182336185537e+00,1.283674925558571545e+01
-4.928774928774931396e+00,1.279245169738804577e+01
-4.925213675213678144e+00,1.268211544813500780e+01
-4.921652421652424891e+00,1.258346505779299207e+01
-4.918091168091170751e+00,1.251416519680891781e+01
-4.914529914529917498e+00,1.247421586518282766e+01
-4.910968660968664246e+00,1.246633470452186998e+01
-4.907407407407410105e+00,1.249595699804056892e+01
-4.903846153846156852e+00,1.252965575397004727e+01
-4.900284900284903600e+00,1.255520158507790995e+01
-4.896723646723649459e+00,1.256036510413161977e+01
-4.893162393162396206e+00,1.253291692389869638e+01
-4.889601139601142066e+00,1.246062765714671627e+01
-4.886039886039888813e+00,1.235165022869728091e+01
-4.882478632478635561e+00,1.219293995883570858e+01
-4.878917378917381420e+00,1.203151204736695945e+01
-4.875356125356128167e+00,1.185160417296910396e+01
-4.871794871794874915e+00,1.173909381043030464e+01
-4.868233618233620774e+00,1.167821863842863195e+01
-4.864672364672367522e+00,1.167441394017851053e+01
-4.861111111111114269e+00,1.169153508230397165e+01
-4.857549857549860128e+00,1.175349731094854633e+01
-4.853988603988606876e+00,1.182143835112898955e+01
-4.850427350427353623e+00,1.191655580738162712e+01
-4.846866096866099483e+00,1.199726976311602300e+01
-4.843304843304846230e+00,1.210325778579750988e+01
-4.839743589743592977e+00,1.217255764678158414e+01
-4.836182336182338837e+00,1.220598463855036186e+01
-4.832621082621085584e+00,1.216467648612065489e+01
-4.829059829059832332e+00,1.209293074769009024e+01
-4.825498575498578191e+00,1.199618270647313523e+01
-4.821937321937324938e+00,1.188258528729141972e+01
