x,velocity_cm_s
-2.436084003140567056e+00,4.466337233336314227e+01
-2.432245235507287440e+00,4.771130236846853734e+01
-2.428406467874007824e+00,5.103572197147740042e+01
-2.424567700240728207e+00,5.459947005703462253e+01
-2.420728932607448591e+00,5.836538553978508048e+01
-2.416890164974168975e+00,6.227881758972388582e+01
-2.413051397340889359e+00,6.631232986323563239e+01
-2.409212629707609743e+00,7.044839563946621297e+01
-2.405373862074330127e+00,7.477566536830518373e+01
-2.401535094441050067e+00,7.904571442093808287e+01
-2.397696326807770451e+00,8.323369478805287258e+01
-2.393857559174490834e+00,8.734234270877021800e+01
-2.390018791541211218e+00,9.133257433510962642e+01
-2.386180023907931602e+00,9.513504079584370743e+01
-2.382341256274651986e+00,9.868871286572006341e+01
-2.378502488641371926e+00,1.019506057072010492e+02
-2.374663721008092310e+00,1.049056884932250853e+02
-2.370824953374812694e+00,1.075436448627831822e+02
-2.366986185741533077e+00,1.098417529383123821e+02
-2.363147418108253461e+00,1.118807872381791668e+02
-2.359308650474973845e+00,1.134129517290428026e+02
-2.355469882841694229e+00,1.145060053053443738e+02
-2.351631115208414613e+00,1.150734236489435602e+02
-2.347792347575134997e+00,1.155374935014307312e+02
-2.343953579941855381e+00,1.155912014382250845e+02
-2.340114812308575765e+00,1.152268009445187857e+02
-2.336276044675296149e+00,1.146986883061260585e+02
-2.332437277042016532e+00,1.140543224813089296e+02
-2.328598509408736916e+00,1.128821583158359090e+02
-2.324759741775457300e+00,1.117454728184208648e+02
-2.320920974142177684e+00,1.103518951413990550e+02
-2.317082206508897624e+00,1.087807947073722659e+02
-2.313243438875618008e+00,1.070850844647417119e+02
-2.309404671242338392e+00,1.051668329363301950e+02
-2.305565903609058775e+00,1.032315723539252872e+02
-2.301727135975779159e+00,1.012054982136773873e+02
-2.297888368342499543e+00,9.902099952596276466e+01
-2.294049600709219483e+00,9.676839066986588023e+01
-2.290210833075940311e+00,9.437649245204482895e+01
-2.286372065442660695e+00,9.201018176762255507e+01
-2.282533297809380635e+00,8.955242892988360381e+01
-2.278694530176101019e+00,8.703531079608728760e+01
-2.274855762542821402e+00,8.458667259271653904e+01
-2.271016994909541786e+00,8.211011735507403841e+01
-2.267178227276262170e+00,7.974593280240091531e+01
-2.263339459642982554e+00,7.742746932638615931e+01
-2.259500692009702938e+00,7.518978036873782855e+01
-2.255661924376423322e+00,7.300628003854021131e+01
-2.251823156743143706e+00,7.086426700960470271e+01
-2.247984389109864090e+00,6.860714705657915147e+01
-2.244145621476584473e+00,6.639576666831408147e+01
-2.240306853843304413e+00,6.429867972764375850e+01
-2.236468086210024797e+00,6.227987141154738993e+01
-2.232629318576745181e+00,6.026816252668304230e+01
-2.228790550943465565e+00,5.831981236794408119e+01
-2.224951783310185949e+00,5.654532432198108438e+01
-2.221113015676906333e+00,5.486880472939957087e+01
-2.217274248043626717e+00,5.323924491632160994e+01
-2.213435480410347100e+00,5.168458040512105356e+01
-2.209596712777067484e+00,5.018332802108018598e+01
-2.205757945143787868e+00,4.859658665262035981e+01
-2.201919177510508252e+00,4.713353068765597698e+01
-2.198080409877228192e+00,4.578034951386847240e+01
-2.194241642243948576e+00,4.458524161360654148e+01
-2.190402874610668960e+00,4.347776731761491931e+01
-2.186564106977389343e+00,4.249004045935720342e+01
-2.182725339344109727e+00,4.155626188322204939e+01
-2.178886571710830111e+00,4.037060140316729928e+01
-2.175047804077550495e+00,3.927544018321874830e+01
-2.171209036444270879e+00,3.828057691752466951e+01
-2.167370268810991263e+00,3.739960036117768993e+01
-2.163531501177711647e+00,3.661490984091506107e+01
-2.159692733544432031e+00,3.593214422789760931e+01
-2.155853965911151970e+00,3.525163416334451938e+01
-2.152015198277872354e+00,3.462817838207797649e+01
-2.148176430644592738e+00,3.398728832046818127e+01
-2.144337663011313122e+00,3.339524382478292353e+01
-2.140498895378033506e+00,3.288804122994073964e+01
-2.136660127744753890e+00,3.231668492058004460e+01
-2.132821360111474274e+00,3.177605583702043646e+01
